,seed,model,data,batch_size,method,count,num_epochs,lr,loss,epoch,type,spearman
0,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,1,train,0.358
1,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,1,valid,0.333
2,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,2,train,0.72
3,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,2,valid,0.685
4,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,3,train,0.845
5,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,3,valid,0.825
6,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,4,train,0.878
7,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,4,valid,0.831
8,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,5,train,0.901
9,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,5,valid,0.85
10,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,6,train,0.918
11,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,6,valid,0.869
12,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,7,train,0.929
13,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,7,valid,0.881
14,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,8,train,0.936
15,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,8,valid,0.876
16,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,9,train,0.947
17,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,9,valid,0.878
18,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,10,train,0.952
19,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,10,valid,0.881
20,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,11,train,0.959
21,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,11,valid,0.885
22,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,12,train,0.962
23,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,12,valid,0.888
24,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,13,train,0.967
25,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,13,valid,0.887
26,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,14,train,0.97
27,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,14,valid,0.889
28,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,15,train,0.974
29,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,15,valid,0.89
30,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,16,train,0.977
31,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,16,valid,0.89
32,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,17,train,0.981
33,101,esm2_t33_650M_UR50D,01.beta-lactamase_activity_5405sequence.csv,16,top_layer,4,20,0.0001,ListMLE,17,valid,0.892
