,seed,model,data,batch_size,method,count,num_epochs,lr,loss,epoch,type,spearman
0,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,1,train,0.729
1,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,1,valid,0.727
2,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,2,train,0.792
3,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,2,valid,0.79
4,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,3,train,0.808
5,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,3,valid,0.803
6,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,4,train,0.818
7,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,4,valid,0.808
8,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,5,train,0.82
9,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,5,valid,0.81
10,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,6,train,0.825
11,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,6,valid,0.816
12,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,7,train,0.827
13,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,7,valid,0.817
14,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,8,train,0.827
15,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,8,valid,0.817
16,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,9,train,0.829
17,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,9,valid,0.819
18,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,10,train,0.831
19,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,10,valid,0.82
20,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,11,train,0.833
21,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,11,valid,0.824
22,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,12,train,0.835
23,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,12,valid,0.826
24,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,13,train,0.836
25,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,13,valid,0.826
26,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,14,train,0.838
27,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,14,valid,0.826
28,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,15,train,0.838
29,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,15,valid,0.827
30,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,16,train,0.839
31,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,16,valid,0.828
32,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,17,train,0.839
33,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,17,valid,0.827
34,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,18,train,0.84
35,101,SaProt_650M_PDB,01.avGFP_fluorescence_30202sequence.csv.csv,16,lora,4,20,0.0001,ListMLE,18,valid,0.828
